n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_lambda,mean_icir,std_score
200,3,0.03,0.9,1.0,5.0,0.09045389128567748,0.2538599334114719
300,5,0.1,0.7,1.0,20.0,0.09013102428626386,0.23586180043568358
200,4,0.1,0.7,1.0,20.0,0.09000588287035385,0.321290613224363
500,3,0.03,0.9,1.0,5.0,0.08988182194161212,0.2627686794219855
300,5,0.1,0.7,1.0,10.0,0.0880178356233495,0.25656238278445315
200,3,0.05,0.7,0.7,10.0,0.08734567668530308,0.2890552567889709
500,5,0.1,0.7,0.7,5.0,0.08706457005778967,0.21135093551169046
200,4,0.1,0.7,1.0,5.0,0.08680148023561036,0.25233896172315956
300,4,0.1,0.7,1.0,5.0,0.08663275699981879,0.2477231966682149
300,5,0.05,0.9,1.0,20.0,0.08624497879147407,0.20566778601244012
300,3,0.05,0.9,1.0,5.0,0.08586270403872326,0.23109363758186413
200,3,0.03,0.9,0.7,10.0,0.08507659661440249,0.21559255287491644
200,3,0.05,0.9,1.0,5.0,0.08375958356707625,0.21896058789991804
500,3,0.05,0.9,1.0,5.0,0.08361461584183222,0.23069961187903087
500,5,0.05,0.9,1.0,20.0,0.08312692732085931,0.19095736682544717
500,4,0.05,0.7,0.7,20.0,0.07967915028692882,0.31244787140547226
200,5,0.1,0.9,0.7,10.0,0.07947300264769262,0.2139928342516932
500,5,0.1,0.7,1.0,20.0,0.0790294855969285,0.2274631575639754
200,4,0.03,0.7,0.7,5.0,0.0788887374386051,0.23569135512522932
300,4,0.05,0.7,0.7,20.0,0.07793594226416432,0.3184639899487819
300,5,0.1,0.9,0.7,10.0,0.07790729072483368,0.21130196571878973
200,5,0.05,0.7,0.7,10.0,0.07775084193330384,0.2836795661209416
300,4,0.05,0.7,0.7,5.0,0.07656676053564548,0.312552102672682
500,5,0.1,0.7,1.0,10.0,0.07647207905174952,0.24166585343161476
200,5,0.1,0.9,0.7,5.0,0.07618590344089872,0.261977593171343
200,4,0.1,0.7,0.7,10.0,0.07562393283732824,0.26336769337086696
200,5,0.1,0.7,0.7,20.0,0.07531280705301543,0.26329089871925027
300,5,0.05,0.7,0.7,10.0,0.07521961819463928,0.27399840674989123
300,3,0.1,0.7,1.0,20.0,0.0749369880896431,0.3116425073920072
300,4,0.03,0.7,0.7,5.0,0.0733816715177808,0.2420834859001863
200,4,0.03,0.7,1.0,20.0,0.07333409738535383,0.2935038451579953
500,4,0.03,0.7,0.7,5.0,0.07307258765546543,0.2517999168949382
200,4,0.05,0.7,0.7,5.0,0.07281362172471484,0.3135233817366876
200,3,0.03,0.9,1.0,20.0,0.07161929706530787,0.22847620985944744
300,4,0.03,0.7,1.0,20.0,0.0714393464031974,0.284241870055677
500,5,0.05,0.7,0.7,10.0,0.07109742559214373,0.2724916305593624
500,4,0.1,0.7,1.0,5.0,0.07029331604187339,0.23290721170618142
500,4,0.03,0.7,1.0,20.0,0.07004098979016922,0.2787677443261879
300,5,0.1,0.9,0.7,5.0,0.06994157405877195,0.2507712293290778
200,4,0.05,0.9,0.7,10.0,0.06945481341332548,0.32153408140131706
500,3,0.1,0.7,1.0,20.0,0.06934114614527898,0.3050349823289764
500,3,0.03,0.9,1.0,20.0,0.06908527680810467,0.2188829622300933
200,3,0.1,0.7,1.0,20.0,0.06841246234727827,0.31146648475210065
